id,gid,x,y,v_x,v_y,radius,time
0,0,7.868731,0.000042,-1.312690,0.000425,0.500000,0.100000
1,1,5.574815,5.574814,-0.820351,-0.820363,0.500000,0.100000
2,2,0.000037,7.863557,0.000377,-1.364430,0.500000,0.100000
3,3,-5.563287,5.563309,0.935627,-0.935406,0.500000,0.100000
4,4,-7.881877,0.000027,1.181230,0.000280,0.500000,0.100000
5,5,-5.561454,-5.561527,0.953963,0.953330,0.500000,0.100000
6,6,0.000000,-7.861674,0.000000,1.383260,0.500000,0.100000
7,7,5.573139,-5.573054,-0.837209,0.837955,0.500000,0.100000
0,0,7.737462,0.000085,-1.312690,0.000425,0.500000,0.200000
1,1,5.492780,5.492777,-0.820351,-0.820363,0.500000,0.200000
2,2,0.000075,7.727114,0.000377,-1.364430,0.500000,0.200000
3,3,-5.469725,5.469769,0.935627,-0.935406,0.500000,0.200000
4,4,-7.763754,0.000055,1.181230,0.000280,0.500000,0.200000
5,5,-5.466057,-5.466194,0.953963,0.953330,0.500000,0.200000
6,6,0.000000,-7.723348,0.000000,1.383260,0.500000,0.200000
7,7,5.489418,-5.489259,-0.837209,0.837955,0.500000,0.200000
0,0,7.606195,0.003353,-1.312666,0.032684,0.500000,0.300000
1,1,5.417556,5.406396,-0.752237,-0.863811,0.500000,0.300000
2,2,0.006688,7.580077,0.066130,-1.470365,0.500000,0.300000
3,3,-5.372811,5.371597,0.969134,-0.981720,0.500000,0.300000
4,4,-7.665574,0.007817,0.981805,0.077615,0.500000,0.300000
5,5,-5.361149,-5.341567,1.049086,1.246273,0.500000,0.300000
6,6,0.003115,-7.591322,0.031149,1.320259,0.500000,0.300000
7,7,5.405766,-5.411730,-0.836520,0.775293,0.500000,0.300000
0,0,7.463904,0.008126,-1.422918,0.047727,0.500000,0.400000
1,1,5.340008,5.327604,-0.775479,-0.787924,0.500000,0.400000
2,2,0.018272,7.424400,0.115838,-1.556773,0.500000,0.400000
3,3,-5.286543,5.288756,0.862680,-0.828410,0.500000,0.400000
4,4,-7.557214,0.013324,1.083593,0.055077,0.500000,0.400000
5,5,-5.247935,-5.225607,1.132134,1.159598,0.500000,0.400000
6,6,0.005024,-7.459475,0.019090,1.318469,0.500000,0.400000
7,7,5.335139,-5.350216,-0.706275,0.615138,0.500000,0.400000
0,0,7.317591,0.012223,-1.463123,0.040970,0.500000,0.500000
1,1,5.268349,5.255393,-0.716589,-0.722114,0.500000,0.500000
2,2,0.032203,7.278156,0.139315,-1.462437,0.500000,0.500000
3,3,-5.178937,5.206090,1.076063,-0.826657,0.500000,0.500000
4,4,-7.457012,0.012363,1.002023,-0.009612,0.500000,0.500000
5,5,-5.159411,-5.113572,0.885246,1.120346,0.500000,0.500000
6,6,0.016561,-7.330444,0.115373,1.290308,0.500000,0.500000
7,7,5.259661,-5.275112,-0.754776,0.751034,0.500000,0.500000
0,0,7.174523,0.024974,-1.430682,0.127511,0.500000,0.600000
1,1,5.192513,5.187358,-0.758361,-0.680347,0.500000,0.600000
2,2,0.061663,7.131692,0.294592,-1.464644,0.500000,0.600000
3,3,-5.074798,5.134835,1.041389,-0.712556,0.500000,0.600000
4,4,-7.353075,0.007597,1.039368,-0.047664,0.500000,0.600000
5,5,-5.065499,-4.983285,0.939117,1.302871,0.500000,0.600000
6,6,0.043920,-7.167378,0.273587,1.630661,0.500000,0.600000
7,7,5.197328,-5.201201,-0.623332,0.739113,0.500000,0.600000
0,0,7.042232,0.028723,-1.322912,0.037491,0.500000,0.700000
1,1,5.100797,5.120578,-0.917163,-0.667802,0.500000,0.700000
2,2,0.081323,6.971272,0.196602,-1.604203,0.500000,0.700000
3,3,-4.974767,5.054694,1.000310,-0.801406,0.500000,0.700000
4,4,-7.247355,-0.002066,1.057206,-0.096626,0.500000,0.700000
5,5,-4.977473,-4.863433,0.880260,1.198526,0.500000,0.700000
6,6,0.057505,-7.026357,0.135850,1.410215,0.500000,0.700000
7,7,5.127574,-5.126352,-0.697539,0.748487,0.500000,0.700000
0,0,6.898055,0.012353,-1.441769,-0.163708,0.500000,0.800000
1,1,5.027472,5.034912,-0.733251,-0.856653,0.500000,0.800000
2,2,0.082320,6.813689,0.009975,-1.575826,0.500000,0.800000
3,3,-4.865592,4.967240,1.091751,-0.874543,0.500000,0.800000
4,4,-7.142646,-0.015697,1.047082,-0.136310,0.500000,0.800000
5,5,-4.872401,-4.738483,1.050726,1.249494,0.500000,0.800000
6,6,0.078330,-6.892643,0.208254,1.337141,0.500000,0.800000
7,7,5.054673,-5.053230,-0.729006,0.731225,0.500000,0.800000
0,0,6.763363,0.011632,-1.346918,-0.007203,0.500000,0.900000
1,1,4.946334,4.938799,-0.811382,-0.961130,0.500000,0.900000
2,2,0.088057,6.650836,0.057364,-1.628535,0.500000,0.900000
3,3,-4.763252,4.892831,1.023402,-0.744086,0.500000,0.900000
4,4,-7.038359,-0.023884,1.042873,-0.081866,0.500000,0.900000
5,5,-4.774227,-4.614503,0.981736,1.239797,0.500000,0.900000
6,6,0.079493,-6.770984,0.011624,1.216583,0.500000,0.900000
7,7,4.987355,-4.984060,-0.673187,0.691701,0.500000,0.900000
0,0,6.631820,-0.009708,-1.315432,-0.213403,0.500000,1.000000
1,1,4.871184,4.853117,-0.751499,-0.856821,0.500000,1.000000
2,2,0.092430,6.483028,0.043737,-1.678080,0.500000,1.000000
3,3,-4.667040,4.817918,0.962114,-0.749135,0.500000,1.000000
4,4,-6.938511,-0.034866,0.998481,-0.109830,0.500000,1.000000
5,5,-4.670485,-4.503192,1.037421,1.113112,0.500000,1.000000
6,6,0.090624,-6.641347,0.111316,1.296377,0.500000,1.000000
7,7,4.923281,-4.905024,-0.640741,0.790359,0.500000,1.000000
0,0,6.499029,-0.032673,-1.327910,-0.229652,0.500000,1.100000
1,1,4.790601,4.762690,-0.805823,-0.904268,0.500000,1.100000
2,2,0.090830,6.345700,-0.016008,-1.373279,0.500000,1.100000
3,3,-4.574598,4.738093,0.924426,-0.798251,0.500000,1.100000
4,4,-6.829815,-0.044365,1.086955,-0.094990,0.500000,1.100000
5,5,-4.573121,-4.386803,0.973640,1.163896,0.500000,1.100000
6,6,0.087864,-6.509650,-0.027600,1.316971,0.500000,1.100000
7,7,4.855422,-4.824243,-0.678584,0.807808,0.500000,1.100000
0,0,6.346306,-0.052062,-1.527229,-0.193885,0.500000,1.200000
1,1,4.712865,4.680053,-0.777365,-0.826369,0.500000,1.200000
2,2,0.085450,6.201355,-0.053797,-1.443452,0.500000,1.200000
3,3,-4.475045,4.654432,0.995530,-0.836607,0.500000,1.200000
4,4,-6.727510,-0.049807,1.023050,-0.054410,0.500000,1.200000
5,5,-4.472359,-4.273353,1.007614,1.134495,0.500000,1.200000
6,6,0.076973,-6.386347,-0.108915,1.233026,0.500000,1.200000
7,7,4.784654,-4.759122,-0.707683,0.651212,0.500000,1.200000
0,0,6.205663,-0.071709,-1.406425,-0.196468,0.500000,1.300000
1,1,4.633169,4.590189,-0.796961,-0.898647,0.500000,1.300000
2,2,0.079432,6.050323,-0.060179,-1.510318,0.500000,1.300000
3,3,-4.386972,4.580959,0.880730,-0.734724,0.500000,1.300000
4,4,-6.637237,-0.049134,0.902738,0.006724,0.500000,1.300000
5,5,-4.389391,-4.171140,0.829684,1.022129,0.500000,1.300000
6,6,0.078764,-6.257121,0.017909,1.292264,0.500000,1.300000
7,7,4.706597,-4.689175,-0.780571,0.699472,0.500000,1.300000
0,0,6.058299,-0.077955,-1.473642,-0.062467,0.500000,1.400000
1,1,4.553357,4.508447,-0.798121,-0.817418,0.500000,1.400000
2,2,0.087790,5.894419,0.083584,-1.559036,0.500000,1.400000
3,3,-4.297548,4.503406,0.894242,-0.775532,0.500000,1.400000
4,4,-6.549606,-0.034998,0.876311,0.141365,0.500000,1.400000
