id,gid,x,y,v_x,v_y,radius,time
0,0,10.160403,0.363372,-0.056973,0.082682,0.200000,0.100000
1,0,12.545148,0.594133,-0.032522,0.026063,0.200000,0.100000
2,0,7.331504,-0.104051,0.094637,0.179299,0.200000,0.100000
3,0,6.757099,-0.837894,-0.474415,0.024836,0.200000,0.100000
4,0,8.772448,0.719437,-0.626022,0.194253,0.200000,0.100000
5,0,5.216696,0.522195,-0.069641,-0.124084,0.200000,0.100000
6,0,13.628435,-1.046607,-0.670645,0.032226,0.200000,0.100000
7,0,10.857982,-0.164691,-0.020184,0.051540,0.200000,0.100000
8,0,13.289092,-0.540955,-0.238080,-0.035136,0.200000,0.100000
9,0,8.031690,-0.224212,0.021402,-0.035877,0.200000,0.100000
10,0,6.875213,0.236184,0.119130,0.166456,0.200000,0.100000
11,0,14.760744,-0.695879,-0.001557,-0.046311,0.200000,0.100000
12,0,13.393737,0.583737,-0.161626,-0.117668,0.200000,0.100000
13,0,8.525871,0.132079,-0.004292,0.002934,0.200000,0.100000
14,0,6.730897,-0.413948,-0.814426,0.009530,0.200000,0.100000
15,0,13.535846,1.028132,-0.762540,0.072923,0.200000,0.100000
16,0,6.332549,0.047649,-1.131111,-0.023381,0.200000,0.100000
17,0,6.753643,0.898329,-0.257771,0.154324,0.200000,0.100000
18,0,9.447568,-0.463664,-0.508619,-0.260235,0.200000,0.100000
19,0,7.314746,-0.862968,-0.175445,-0.235780,0.200000,0.100000
20,1,7.286014,7.709440,-0.140562,-0.039197,0.200000,0.100000
21,1,8.353102,-4.247084,-0.129982,-0.519342,0.200000,0.100000
22,1,7.095016,2.313416,-0.165740,-0.226336,0.200000,0.100000
23,1,9.083444,-3.123871,-0.048862,-0.471807,0.200000,0.100000
24,1,5.299983,5.476660,-0.101575,-0.133099,0.200000,0.100000
25,1,8.387009,-2.121212,-0.258615,-0.920318,0.200000,0.100000
26,1,6.822086,6.560529,0.001159,-0.077809,0.200000,0.100000
27,1,5.166663,1.221987,-0.003571,-0.012426,0.200000,0.100000
28,1,4.793829,2.960812,-0.157206,-0.619578,0.200000,0.100000
29,1,4.807839,0.662164,-0.046305,-0.468905,0.200000,0.100000
30,1,7.619439,3.438118,0.163087,-0.087723,0.200000,0.100000
31,1,7.274773,-4.428469,-0.010373,-0.835194,0.200000,0.100000
32,1,5.652784,2.159501,0.080540,-0.801594,0.200000,0.100000
33,1,7.978163,5.307325,0.008433,-0.567849,0.200000,0.100000
34,1,4.928316,6.635442,0.011961,-0.008583,0.200000,0.100000
35,1,9.188218,3.778141,0.038879,-0.065390,0.200000,0.100000
36,1,6.194087,4.166519,-0.024034,-0.418013,0.200000,0.100000
37,1,8.549372,3.854821,-0.033485,-0.078085,0.200000,0.100000
38,1,9.147922,4.627537,0.066116,-0.043230,0.200000,0.100000
39,1,6.779986,8.783827,-0.189239,-0.846735,0.200000,0.100000
0,0,10.113849,0.385184,-0.465534,0.218118,0.200000,0.200000
1,0,12.480271,0.618813,-0.648772,0.246800,0.200000,0.200000
2,0,7.307551,-0.115194,-0.239526,-0.111426,0.200000,0.200000
3,0,6.658996,-0.852161,-0.981021,-0.142664,0.200000,0.200000
4,0,8.726173,0.756923,-0.462753,0.374856,0.200000,0.200000
5,0,5.196856,0.434962,-0.198400,-0.872324,0.200000,0.200000
6,0,13.530274,-1.039356,-0.981612,0.072512,0.200000,0.200000
7,0,10.820458,-0.177069,-0.375240,-0.123782,0.200000,0.200000
8,0,13.183873,-0.546314,-1.052187,-0.053596,0.200000,0.200000
9,0,7.994603,-0.234969,-0.370871,-0.107578,0.200000,0.200000
10,0,6.865550,0.211890,-0.096629,-0.242940,0.200000,0.200000
11,0,14.731129,-0.701789,-0.296158,-0.059099,0.200000,0.200000
12,0,13.384864,0.580893,-0.088730,-0.028442,0.200000,0.200000
13,0,8.530290,0.146768,0.044195,0.146886,0.200000,0.200000
14,0,6.611457,-0.426758,-1.194408,-0.128100,0.200000,0.200000
15,0,13.425227,1.031280,-1.106188,0.031480,0.200000,0.200000
16,0,6.184840,0.018433,-1.477084,-0.292157,0.200000,0.200000
17,0,6.711306,0.924064,-0.423372,0.257348,0.200000,0.200000
18,0,9.401525,-0.480188,-0.460432,-0.165236,0.200000,0.200000
19,0,7.253464,-0.885514,-0.612818,-0.225461,0.200000,0.200000
20,1,7.290500,7.652723,0.044864,-0.567171,0.200000,0.200000
21,1,8.336848,-4.303434,-0.162538,-0.563494,0.200000,0.200000
22,1,7.083533,2.258696,-0.114827,-0.547206,0.200000,0.200000
23,1,9.075654,-3.178942,-0.077895,-0.550711,0.200000,0.200000
24,1,5.287735,5.463071,-0.122479,-0.135896,0.200000,0.200000
25,1,8.356147,-2.243344,-0.308612,-1.221320,0.200000,0.200000
26,1,6.823094,6.482944,0.010077,-0.775855,0.200000,0.200000
27,1,5.159181,1.216901,-0.074816,-0.050862,0.200000,0.200000
28,1,4.768039,2.835966,-0.257899,-1.248466,0.200000,0.200000
29,1,4.798090,0.562762,-0.097500,-0.994013,0.200000,0.200000
30,1,7.636514,3.395977,0.170754,-0.421410,0.200000,0.200000
31,1,7.268937,-4.544553,-0.058352,-1.160831,0.200000,0.200000
32,1,5.658777,2.075579,0.059926,-0.839214,0.200000,0.200000
33,1,7.957646,5.216548,-0.205175,-0.907771,0.200000,0.200000
34,1,4.934177,6.603258,0.058605,-0.321837,0.200000,0.200000
35,1,9.185112,3.676994,-0.031063,-1.011471,0.200000,0.200000
36,1,6.209717,4.126656,0.156305,-0.398630,0.200000,0.200000
37,1,8.569709,3.828907,0.203371,-0.259146,0.200000,0.200000
38,1,9.155947,4.618920,0.080257,-0.086169,0.200000,0.200000
39,1,6.761011,8.699765,-0.189753,-0.840616,0.200000,0.200000
0,0,10.013489,0.420409,-1.003602,0.352247,0.200000,0.300000
1,0,12.410866,0.608507,-0.694043,-0.103060,0.200000,0.300000
2,0,7.265384,-0.162291,-0.421667,-0.470973,0.200000,0.300000
3,0,6.591149,-0.870107,-0.678472,-0.179463,0.200000,0.300000
4,0,8.666806,0.774155,-0.593667,0.172325,0.200000,0.300000
5,0,5.161150,0.289728,-0.357056,-1.452346,0.200000,0.300000
6,0,13.428372,-1.042392,-1.019023,-0.030362,0.200000,0.300000
7,0,10.736504,-0.166855,-0.839536,0.102144,0.200000,0.300000
8,0,13.069813,-0.529321,-1.140603,0.169933,0.200000,0.300000
9,0,7.931815,-0.273077,-0.627885,-0.381075,0.200000,0.300000
10,0,6.812561,0.189035,-0.529893,-0.228547,0.200000,0.300000
11,0,14.687200,-0.706906,-0.439286,-0.051171,0.200000,0.300000
12,0,13.275971,0.574559,-1.088938,-0.063336,0.200000,0.300000
13,0,8.480486,0.190709,-0.498043,0.439412,0.200000,0.300000
14,0,6.526903,-0.392172,-0.845534,0.345862,0.200000,0.300000
15,0,13.344853,1.016953,-0.803739,-0.143270,0.200000,0.300000
16,0,6.037781,0.061882,-1.470598,0.434489,0.200000,0.300000
17,0,6.666059,0.952571,-0.452470,0.285064,0.200000,0.300000
18,0,9.342998,-0.507079,-0.585271,-0.268905,0.200000,0.300000
19,0,7.181479,-0.907741,-0.719848,-0.222271,0.200000,0.300000
20,1,7.290995,7.589760,0.004950,-0.629630,0.200000,0.300000
21,1,8.310926,-4.415823,-0.259217,-1.123895,0.200000,0.300000
