id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993474,-1.000287,0.130526,-0.005740,0.750000,0.050000
1,0,-8.993395,1.001544,0.132097,0.030874,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981100,-1.000545,0.247473,-0.005164,0.750000,0.100000
1,0,-8.980900,1.003540,0.249910,0.039922,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963464,-1.000777,0.352726,-0.004643,0.750000,0.150000
1,0,-8.963120,1.005715,0.355602,0.043494,0.750000,0.150000
2,1,-0.036465,0.000000,-0.352300,0.000000,0.750000,0.150000
0,0,-8.941091,-1.000986,0.447453,-0.004173,0.750000,0.200000
1,0,-8.940591,1.007958,0.450578,0.044874,0.750000,0.200000
2,1,-0.058818,0.000000,-0.447070,0.000000,0.750000,0.200000
0,0,-8.914456,-1.001173,0.532708,-0.003749,0.750000,0.250000
1,0,-8.913791,1.010226,0.535994,0.045365,0.750000,0.250000
2,1,-0.085437,0.000000,-0.532363,0.000000,0.750000,0.250000
0,0,-8.883984,-1.001342,0.609437,-0.003366,0.750000,0.300000
1,0,-8.883149,1.012500,0.612843,0.045481,0.750000,0.300000
2,1,-0.115893,0.000000,-0.609127,0.000000,0.750000,0.300000
0,0,-8.850059,-1.001493,0.678494,-0.003019,0.750000,0.350000
1,0,-8.849049,1.014772,0.681996,0.045430,0.750000,0.350000
2,1,-0.149804,0.000000,-0.678214,0.000000,0.750000,0.350000
0,0,-8.813125,-1.001698,0.738682,-0.004110,0.750000,0.400000
1,0,-8.811838,1.017037,0.744228,0.045296,0.750000,0.400000
2,1,-0.186823,0.000000,-0.740393,0.000000,0.750000,0.400000
0,0,-8.773667,-1.002088,0.789167,-0.007792,0.750000,0.450000
1,0,-8.772142,1.019278,0.793920,0.044822,0.750000,0.450000
2,1,-0.226452,-0.000096,-0.792579,-0.001925,0.750000,0.450000
0,0,-8.732096,-1.002765,0.831405,-0.013540,0.750000,0.500000
1,0,-8.730369,1.021617,0.835451,0.046777,0.750000,0.500000
